File,Dice
6.1.nii.gz,0.0011
60.1.nii.gz,0.0012
61.1.nii.gz,0.0007
62.1.nii.gz,0.0009
63.1.nii.gz,0.0005
64.1.nii.gz,0.0014
65.1.nii.gz,0.0005
66.1.nii.gz,0.0013
67.1.nii.gz,0.0007
68.1.nii.gz,0.0006
69.1.nii.gz,0.0003
7.1.nii.gz,0.0001
70.1.nii.gz,0.0007
71.1.nii.gz,0.0004
72.1.nii.gz,0.0003
73.1.nii.gz,0.0009
74.1.nii.gz,0.0012
75.1.nii.gz,0.0002
76.1.nii.gz,0.0007
77.1.nii.gz,0.0009
78.1.nii.gz,0.0004
79.1.nii.gz,0.0003
8.1.nii.gz,0.0002
80.1.nii.gz,0.0005
81.1.nii.gz,0.0011
82.1.nii.gz,0.0006
83.1.nii.gz,0.0002
84.1.nii.gz,0.0002
85.1.nii.gz,0.0006
86.1.nii.gz,0.0002
87.1.nii.gz,0.0009
88.1.nii.gz,0.0005
89.1.nii.gz,0.001
9.1.nii.gz,0.0011
90.1.nii.gz,0.0003
91.1.nii.gz,0.0003
92.1.nii.gz,0.0003
93.1.nii.gz,0.0005
94.1.nii.gz,0.0007
95.1.nii.gz,0.0006
96.1.nii.gz,0.0001
97.1.nii.gz,0.0006
98.1.nii.gz,0.0003
99.1.nii.gz,0.0006
