File,Dice
426.1.nii.gz,0.7875
427.1.nii.gz,0.6388
428.1.nii.gz,0.8242
429.1.nii.gz,0.8555
43.1.nii.gz,0.8708
430.1.nii.gz,0.7304
431.1.nii.gz,0.6887
432.1.nii.gz,0.8184
433.1.nii.gz,0.8177
434.1.nii.gz,0.6327
435.1.nii.gz,0.8234
436.1.nii.gz,0.6604
437.1.nii.gz,0.5239
44.1.nii.gz,0.8849
45.1.nii.gz,0.3326
46.1.nii.gz,0.8621
47.1.nii.gz,0.8913
48.1.nii.gz,0.8792
49.1.nii.gz,0.7781
5.1.nii.gz,0.8308
50.1.nii.gz,0.805
51.1.nii.gz,0.3194
52.1.nii.gz,0.6694
53.1.nii.gz,0.8266
54.1.nii.gz,0.8194
55.1.nii.gz,0.7911
56.1.nii.gz,0.7668
57.1.nii.gz,0.8631
58.1.nii.gz,0.0017
59.1.nii.gz,0.7451
6.1.nii.gz,0.749
60.1.nii.gz,0.8145
61.1.nii.gz,0.7816
62.1.nii.gz,0.5331
63.1.nii.gz,0.8129
64.1.nii.gz,0.6983
65.1.nii.gz,0.7965
66.1.nii.gz,0.3251
67.1.nii.gz,0.002
68.1.nii.gz,0.2807
69.1.nii.gz,0.6745
7.1.nii.gz,0.4877
70.1.nii.gz,0.8097
71.1.nii.gz,0.7277
72.1.nii.gz,0.3708
73.1.nii.gz,0.6591
74.1.nii.gz,0.6794
75.1.nii.gz,0.0128
76.1.nii.gz,0.8173
77.1.nii.gz,0.7129
78.1.nii.gz,0.3859
79.1.nii.gz,0.0062
8.1.nii.gz,0.583
80.1.nii.gz,0.3258
81.1.nii.gz,0.4379
82.1.nii.gz,0.5015
83.1.nii.gz,0.5415
84.1.nii.gz,0.0016
85.1.nii.gz,0.7985
86.1.nii.gz,0.0662
87.1.nii.gz,0.5181
88.1.nii.gz,0.7973
89.1.nii.gz,0.4155
9.1.nii.gz,0.77
90.1.nii.gz,0.0065
91.1.nii.gz,0.0632
92.1.nii.gz,0.8061
93.1.nii.gz,0.0014
94.1.nii.gz,0.121
95.1.nii.gz,0.7077
96.1.nii.gz,0.5091
97.1.nii.gz,0.0025
98.1.nii.gz,0.4183
99.1.nii.gz,0.8004
