File,Dice
423.1.nii.gz,0.9975
424.1.nii.gz,0.9979
425.1.nii.gz,0.9975
426.1.nii.gz,0.9971
427.1.nii.gz,0.9963
428.1.nii.gz,0.9933
429.1.nii.gz,0.9962
43.1.nii.gz,0.9722
430.1.nii.gz,0.998
431.1.nii.gz,0.9969
432.1.nii.gz,0.9912
433.1.nii.gz,0.9935
434.1.nii.gz,0.9969
435.1.nii.gz,0.6601
436.1.nii.gz,0.9981
437.1.nii.gz,0.9968
44.1.nii.gz,0.9941
45.1.nii.gz,0.9729
46.1.nii.gz,0.9862
47.1.nii.gz,0.9732
48.1.nii.gz,0.9851
49.1.nii.gz,0.9828
5.1.nii.gz,0.9883
50.1.nii.gz,0.9817
51.1.nii.gz,0.9643
52.1.nii.gz,0.9734
53.1.nii.gz,0.9955
54.1.nii.gz,0.9849
55.1.nii.gz,0.9928
56.1.nii.gz,0.9893
57.1.nii.gz,0.983
58.1.nii.gz,0.3124
59.1.nii.gz,0.9923
6.1.nii.gz,0.9755
60.1.nii.gz,0.9768
61.1.nii.gz,0.9478
62.1.nii.gz,0.9836
63.1.nii.gz,0.9925
64.1.nii.gz,0.9818
65.1.nii.gz,0.9877
66.1.nii.gz,0.9821
67.1.nii.gz,0.6727
68.1.nii.gz,0.9894
69.1.nii.gz,0.9943
7.1.nii.gz,0.9941
70.1.nii.gz,0.9859
71.1.nii.gz,0.9871
72.1.nii.gz,0.3316
73.1.nii.gz,0.9845
74.1.nii.gz,0.9803
75.1.nii.gz,0.9983
76.1.nii.gz,0.9841
77.1.nii.gz,0.9881
78.1.nii.gz,0.9926
79.1.nii.gz,0.9967
8.1.nii.gz,0.9967
80.1.nii.gz,0.9901
81.1.nii.gz,0.9704
82.1.nii.gz,0.9906
83.1.nii.gz,0.9968
84.1.nii.gz,0.9975
85.1.nii.gz,0.9815
86.1.nii.gz,0.9973
87.1.nii.gz,0.6569
88.1.nii.gz,0.9808
89.1.nii.gz,0.7667
9.1.nii.gz,0.9793
90.1.nii.gz,0.9559
91.1.nii.gz,0.9958
92.1.nii.gz,0.9941
93.1.nii.gz,0.9904
94.1.nii.gz,0.9883
95.1.nii.gz,0.51
96.1.nii.gz,0.996
97.1.nii.gz,0.9928
98.1.nii.gz,0.9962
99.1.nii.gz,0.277
