file,rows,cols,columns_preview
pontine_eval_continue_t02_largest.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
pontine_eval_continue_t02_largest_TEMP.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
pontine_eval_fixed.csv,435,2,Patient_ID | Dice
proof_from_summary_tables.csv,11,7,file | auc | accuracy | precision | recall_sensitivity | specificity | f1
segmentation_distribution_stats.csv,7,8,metric | n | mean | median | std | iqr | min | max
test_split.csv,135,13,ID | Gender | Age_at_scan_years | Survival_from_surgery_days_UPDATED | Survival_Status | Survival_Censor | IDH1 | MGMT | KPS | GTR_over90percent | Time_since_baseline_preop | PsP_TP_score | PatientID
train_labels.csv,585,2,BraTS21ID | MGMT_value
train_val_split.csv,536,13,ID | Gender | Age_at_scan_years | Survival_from_surgery_days_UPDATED | Survival_Status | Survival_Censor | IDH1 | MGMT | KPS | GTR_over90percent | Time_since_baseline_preop | PsP_TP_score | PatientID
upenn_checkpoint_comparison.csv,2,2,checkpoint | overall_dice_mean
upenn_classification_results.csv,24,4,patient_id | cls_label | pred_label | pred_prob
upenn_classification_results_upenn_finetuned_best.csv,24,4,patient_id | cls_label | pred_label | pred_prob
upenn_classification_results_upenn_finetuned_last.csv,24,4,patient_id | cls_label | pred_label | pred_prob
upenn_image_count_per_case_final.csv,671,8,case_id | num_files | has_T1 | has_T1CE | has_T2 | has_FLAIR | has_SEG | num_OTHER
upenn_image_count_per_subject.csv,1,7,subject_id | num_files | has_T1 | has_T1CE | has_T2 | has_FLAIR | has_SEG
upenn_image_count_per_subject_v2.csv,630,8,subject_id | num_files | has_T1 | has_T1CE | has_T2 | has_FLAIR | has_SEG | num_OTHER
upenn_segmentation_results.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
upenn_segmentation_results_upenn_finetuned_best.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
upenn_segmentation_results_upenn_finetuned_last.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
upenn_test_results_finetuned.csv,1,8,best_ckpt | et_thr | tc_thr | wt_thr | dice_et | dice_tc | dice_wt | dice_mean
v2_segmentation_ens_all_three.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_ens_v2_best_plus_finetuned.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_ens_v2_last_plus_v2_best.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_ensemble.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_upenn_finetuned_best.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_upenn_v2_best.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_upenn_v2_last.csv,29,8,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed
v2_segmentation_upenn_v2_last_hd95et_fixed.csv,29,9,Patient_ID | Dice_ET | Dice_TC | Dice_WT | HD95_ET | HD95_TC | HD95_WT | Failed | HD95_ET_fixed
